Function,Class,Method,Group,Milestone,ClassMethod,
DataFrame.clip,DataFrame,clip,Computations / descriptive stats,,DataFrame.clip,
DataFrame.corr,DataFrame,corr,Computations / descriptive stats,phase 2,DataFrame.corr,
DataFrame.corrwith,DataFrame,corrwith,Computations / descriptive stats,,DataFrame.corrwith,
DataFrame.count,DataFrame,count,Computations / descriptive stats,phase 1,DataFrame.count,
DataFrame.cov,DataFrame,cov,Computations / descriptive stats,,DataFrame.cov,
DataFrame.cummax,DataFrame,cummax,Computations / descriptive stats,phase 2,DataFrame.cummax,
DataFrame.cummin,DataFrame,cummin,Computations / descriptive stats,phase 2,DataFrame.cummin,
DataFrame.cumprod,DataFrame,cumprod,Computations / descriptive stats,,DataFrame.cumprod,
DataFrame.cumsum,DataFrame,cumsum,Computations / descriptive stats,phase 2,DataFrame.cumsum,
DataFrame.describe,DataFrame,describe,Computations / descriptive stats,phase 2,DataFrame.describe,
DataFrame.diff,DataFrame,diff,Computations / descriptive stats,phase 2,DataFrame.diff,
DataFrame.eval,DataFrame,eval,Computations / descriptive stats,,DataFrame.eval,
DataFrame.kurt,DataFrame,kurt,Computations / descriptive stats,,DataFrame.kurt,
DataFrame.kurtosis,DataFrame,kurtosis,Computations / descriptive stats,,DataFrame.kurtosis,
DataFrame.max,DataFrame,max,Computations / descriptive stats,phase 1,DataFrame.max,
DataFrame.mean,DataFrame,mean,Computations / descriptive stats,phase 1,DataFrame.mean,
DataFrame.median,DataFrame,median,Computations / descriptive stats,phase 1,DataFrame.median,
DataFrame.min,DataFrame,min,Computations / descriptive stats,phase 1,DataFrame.min,
DataFrame.mode,DataFrame,mode,Computations / descriptive stats,,DataFrame.mode,
DataFrame.pct_change,DataFrame,pct_change,Computations / descriptive stats,,DataFrame.pct_change,
DataFrame.prod,DataFrame,prod,Computations / descriptive stats,,DataFrame.prod,
DataFrame.product,DataFrame,product,Computations / descriptive stats,,DataFrame.product,
DataFrame.quantile,DataFrame,quantile,Computations / descriptive stats,phase 1,DataFrame.quantile,
DataFrame.rank,DataFrame,rank,Computations / descriptive stats,phase 2,DataFrame.rank,
DataFrame.round,DataFrame,round,Computations / descriptive stats,phase 2,DataFrame.round,
DataFrame.sem,DataFrame,sem,Computations / descriptive stats,,DataFrame.sem,
DataFrame.skew,DataFrame,skew,Computations / descriptive stats,phase 2,DataFrame.skew,
DataFrame.sum,DataFrame,sum,Computations / descriptive stats,phase 1,DataFrame.sum,
DataFrame.std,DataFrame,std,Computations / descriptive stats,phase 1,DataFrame.std,
DataFrame.var,DataFrame,var,Computations / descriptive stats,phase 1,DataFrame.var,
