Function,Class,Method,Group,Milestone,ClassMethod,
Series.idxmin,Series,idxmin,Reindexing / selection / label manipulation,phase 2,Series.idxmin,
Series.isin,Series,isin,Reindexing / selection / label manipulation,phase 2,Series.isin,
Series.last,Series,last,Reindexing / selection / label manipulation,,Series.last,
Series.reindex,Series,reindex,Reindexing / selection / label manipulation,,Series.reindex,
Series.reindex_like,Series,reindex_like,Reindexing / selection / label manipulation,,Series.reindex_like,
Series.rename,Series,rename,Reindexing / selection / label manipulation,phase 1,Series.rename,
Series.rename_axis,Series,rename_axis,Reindexing / selection / label manipulation,,Series.rename_axis,
Series.reset_index,Series,reset_index,Reindexing / selection / label manipulation,phase 1,Series.reset_index,
Series.sample,Series,sample,Reindexing / selection / label manipulation,phase 2,Series.sample,
Series.set_axis,Series,set_axis,Reindexing / selection / label manipulation,,Series.set_axis,
Series.take,Series,take,Reindexing / selection / label manipulation,,Series.take,
Series.tail,Series,tail,Reindexing / selection / label manipulation,phase 1,Series.tail,
Series.truncate,Series,truncate,Reindexing / selection / label manipulation,,Series.truncate,
Series.where,Series,where,Reindexing / selection / label manipulation,phase 1,Series.where,
Series.mask,Series,mask,Reindexing / selection / label manipulation,,Series.mask,
Series.add_prefix,Series,add_prefix,Reindexing / selection / label manipulation,phase 2,Series.add_prefix,
Series.add_suffix,Series,add_suffix,Reindexing / selection / label manipulation,phase 2,Series.add_suffix,
Series.filter,Series,filter,Reindexing / selection / label manipulation,on-hold,Series.filter,
Series.backfill,Series,backfill,Missing data handling,,Series.backfill,
Series.bfill,Series,bfill,Missing data handling,,Series.bfill,
Series.dropna,Series,dropna,Missing data handling,phase 1,Series.dropna,
Series.ffill,Series,ffill,Missing data handling,,Series.ffill,
Series.fillna,Series,fillna,Missing data handling,phase 1,Series.fillna,
Series.interpolate,Series,interpolate,Missing data handling,,Series.interpolate,
Series.isna,Series,isna,Missing data handling,phase 1,Series.isna,
Series.isnull,Series,isnull,Missing data handling,phase 1,Series.isnull,
Series.notna,Series,notna,Missing data handling,phase 1,Series.notna,
Series.notnull,Series,notnull,Missing data handling,phase 1,Series.notnull,
Series.pad,Series,pad,Missing data handling,,Series.pad,
Series.replace,Series,replace,Missing data handling,phase 2,Series.replace,
Series.argsort,Series,argsort,"Reshaping, sorting",,Series.argsort,
Series.argmin,Series,argmin,"Reshaping, sorting",,Series.argmin,
Series.argmax,Series,argmax,"Reshaping, sorting",,Series.argmax,
Series.reorder_levels,Series,reorder_levels,"Reshaping, sorting",,Series.reorder_levels,
Series.sort_values,Series,sort_values,"Reshaping, sorting",phase 1,Series.sort_values,
Series.sort_index,Series,sort_index,"Reshaping, sorting",phase 2,Series.sort_index,
Series.swaplevel,Series,swaplevel,"Reshaping, sorting",,Series.swaplevel,
Series.unstack,Series,unstack,"Reshaping, sorting",,Series.unstack,
Series.explode,Series,explode,"Reshaping, sorting",,Series.explode,
Series.searchsorted,Series,searchsorted,"Reshaping, sorting",,Series.searchsorted,
Series.ravel,Series,ravel,"Reshaping, sorting",,Series.ravel,
Series.repeat,Series,repeat,"Reshaping, sorting",,Series.repeat,
Series.squeeze,Series,squeeze,"Reshaping, sorting",,Series.squeeze,
Series.view,Series,view,"Reshaping, sorting",,Series.view,
Series.compare,Series,compare,Combining / comparing / joining / merging,,Series.compare,
Series.update,Series,update,Combining / comparing / joining / merging,,Series.update,
Series.asfreq,Series,asfreq,Time Series-related,,Series.asfreq,
Series.asof,Series,asof,Time Series-related,,Series.asof,
Series.shift,Series,shift,Time Series-related,phase 2,Series.shift,
Series.first_valid_index,Series,first_valid_index,Time Series-related,phase 2,Series.first_valid_index,
Series.last_valid_index,Series,last_valid_index,Time Series-related,phase 2,Series.last_valid_index,
Series.resample,Series,resample,Time Series-related,phase 1,Series.resample,
Series.tz_convert,Series,tz_convert,Time Series-related,,Series.tz_convert,
Series.tz_localize,Series,tz_localize,Time Series-related,,Series.tz_localize,
Series.at_time,Series,at_time,Time Series-related,,Series.at_time,
Series.between_time,Series,between_time,Time Series-related,,Series.between_time,
Series.dt.date,Series,dt.date,Datetime properties,,Series.dt.date,
Series.dt.time,Series,dt.time,Datetime properties,,Series.dt.time,
Series.dt.timetz,Series,dt.timetz,Datetime properties,,Series.dt.timetz,
Series.dt.year,Series,dt.year,Datetime properties,,Series.dt.year,
Series.dt.month,Series,dt.month,Datetime properties,,Series.dt.month,
Series.dt.day,Series,dt.day,Datetime properties,,Series.dt.day,
Series.dt.hour,Series,dt.hour,Datetime properties,,Series.dt.hour,
Series.dt.minute,Series,dt.minute,Datetime properties,,Series.dt.minute,
Series.dt.second,Series,dt.second,Datetime properties,,Series.dt.second,
Series.dt.microsecond,Series,dt.microsecond,Datetime properties,,Series.dt.microsecond,
Series.dt.nanosecond,Series,dt.nanosecond,Datetime properties,,Series.dt.nanosecond,
Series.dt.dayofweek,Series,dt.dayofweek,Datetime properties,,Series.dt.dayofweek,
Series.dt.day_of_week,Series,dt.day_of_week,Datetime properties,,Series.dt.day_of_week,
Series.dt.weekday,Series,dt.weekday,Datetime properties,,Series.dt.weekday,
Series.dt.dayofyear,Series,dt.dayofyear,Datetime properties,,Series.dt.dayofyear,
Series.dt.day_of_year,Series,dt.day_of_year,Datetime properties,,Series.dt.day_of_year,
Series.dt.quarter,Series,dt.quarter,Datetime properties,,Series.dt.quarter,
Series.dt.is_month_start,Series,dt.is_month_start,Datetime properties,,Series.dt.is_month_start,
Series.dt.is_month_end,Series,dt.is_month_end,Datetime properties,,Series.dt.is_month_end,
Series.dt.is_quarter_start,Series,dt.is_quarter_start,Datetime properties,,Series.dt.is_quarter_start,
Series.dt.is_quarter_end,Series,dt.is_quarter_end,Datetime properties,,Series.dt.is_quarter_end,
Series.dt.is_year_start,Series,dt.is_year_start,Datetime properties,,Series.dt.is_year_start,
Series.dt.is_year_end,Series,dt.is_year_end,Datetime properties,,Series.dt.is_year_end,
Series.dt.is_leap_year,Series,dt.is_leap_year,Datetime properties,,Series.dt.is_leap_year,
Series.dt.daysinmonth,Series,dt.daysinmonth,Datetime properties,,Series.dt.daysinmonth,
Series.dt.days_in_month,Series,dt.days_in_month,Datetime properties,,Series.dt.days_in_month,
Series.dt.tz,Series,dt.tz,Datetime properties,,Series.dt.tz,
Series.dt.freq,Series,dt.freq,Datetime properties,,Series.dt.freq,
Series.dt.unit,Series,dt.unit,Datetime properties,,Series.dt.unit,
Series.dt.isocalendar,Series,dt.isocalendar,Datetime methods,,Series.dt.isocalendar,
Series.dt.to_period,Series,dt.to_period,Datetime methods,,Series.dt.to_period,
Series.dt.to_pydatetime,Series,dt.to_pydatetime,Datetime methods,,Series.dt.to_pydatetime,
Series.dt.tz_localize,Series,dt.tz_localize,Datetime methods,,Series.dt.tz_localize,
Series.dt.tz_convert,Series,dt.tz_convert,Datetime methods,,Series.dt.tz_convert,
Series.dt.normalize,Series,dt.normalize,Datetime methods,,Series.dt.normalize,
Series.dt.strftime,Series,dt.strftime,Datetime methods,,Series.dt.strftime,
Series.dt.round,Series,dt.round,Datetime methods,,Series.dt.round,
Series.dt.floor,Series,dt.floor,Datetime methods,,Series.dt.floor,
Series.dt.ceil,Series,dt.ceil,Datetime methods,,Series.dt.ceil,
Series.dt.month_name,Series,dt.month_name,Datetime methods,,Series.dt.month_name,
Series.dt.day_name,Series,dt.day_name,Datetime methods,,Series.dt.day_name,
Series.dt.as_unit,Series,dt.as_unit,Datetime methods,,Series.dt.as_unit,
Series.dt.qyear,Series,dt.qyear,Period properties,,Series.dt.qyear,
Series.dt.start_time,Series,dt.start_time,Period properties,,Series.dt.start_time,
Series.dt.end_time,Series,dt.end_time,Period properties,,Series.dt.end_time,
Series.dt.days,Series,dt.days,Timedelta properties,,Series.dt.days,
Series.dt.seconds,Series,dt.seconds,Timedelta properties,,Series.dt.seconds,
Series.dt.microseconds,Series,dt.microseconds,Timedelta properties,,Series.dt.microseconds,
Series.dt.nanoseconds,Series,dt.nanoseconds,Timedelta properties,,Series.dt.nanoseconds,
Series.dt.components,Series,dt.components,Timedelta properties,,Series.dt.components,
Series.dt.unit,Series,dt.unit,Timedelta properties,,Series.dt.unit,
Series.dt.to_pytimedelta,Series,dt.to_pytimedelta,Timedelta methods,,Series.dt.to_pytimedelta,
Series.dt.total_seconds,Series,dt.total_seconds,Timedelta methods,,Series.dt.total_seconds,
Series.dt.as_unit,Series,dt.as_unit,Timedelta methods,,Series.dt.as_unit,
Series.str.capitalize,Series,str.capitalize,String handling,,Series.str.capitalize,
Series.str.casefold,Series,str.casefold,String handling,,Series.str.casefold,
Series.str.cat,Series,str.cat,String handling,,Series.str.cat,
Series.str.center,Series,str.center,String handling,,Series.str.center,
Series.str.contains,Series,str.contains,String handling,phase 2,Series.str.contains,
Series.str.count,Series,str.count,String handling,phase 2,Series.str.count,
Series.str.decode,Series,str.decode,String handling,,Series.str.decode,
Series.str.encode,Series,str.encode,String handling,,Series.str.encode,
Series.str.endswith,Series,str.endswith,String handling,phase 2,Series.str.endswith,
Series.str.extract,Series,str.extract,String handling,,Series.str.extract,
Series.str.extractall,Series,str.extractall,String handling,,Series.str.extractall,
Series.str.find,Series,str.find,String handling,,Series.str.find,
Series.str.findall,Series,str.findall,String handling,,Series.str.findall,
Series.str.fullmatch,Series,str.fullmatch,String handling,,Series.str.fullmatch,
Series.str.get,Series,str.get,String handling,,Series.str.get,
Series.str.index,Series,str.index,String handling,,Series.str.index,
Series.str.join,Series,str.join,String handling,,Series.str.join,
Series.str.len,Series,str.len,String handling,phase 2,Series.str.len,
Series.str.ljust,Series,str.ljust,String handling,,Series.str.ljust,
Series.str.lower,Series,str.lower,String handling,phase 2,Series.str.lower,
Series.str.lstrip,Series,str.lstrip,String handling,,Series.str.lstrip,
Series.str.match,Series,str.match,String handling,,Series.str.match,
Series.str.normalize,Series,str.normalize,String handling,,Series.str.normalize,
Series.str.pad,Series,str.pad,String handling,,Series.str.pad,
Series.str.partition,Series,str.partition,String handling,,Series.str.partition,
Series.str.removeprefix,Series,str.removeprefix,String handling,,Series.str.removeprefix,
Series.str.removesuffix,Series,str.removesuffix,String handling,,Series.str.removesuffix,
Series.str.repeat,Series,str.repeat,String handling,,Series.str.repeat,
Series.str.replace,Series,str.replace,String handling,phase 2,Series.str.replace,
Series.str.rfind,Series,str.rfind,String handling,,Series.str.rfind,
Series.str.rindex,Series,str.rindex,String handling,,Series.str.rindex,
Series.str.rjust,Series,str.rjust,String handling,,Series.str.rjust,
Series.str.rpartition,Series,str.rpartition,String handling,,Series.str.rpartition,
Series.str.rstrip,Series,str.rstrip,String handling,,Series.str.rstrip,
Series.str.slice,Series,str.slice,String handling,,Series.str.slice,
Series.str.slice_replace,Series,str.slice_replace,String handling,,Series.str.slice_replace,
Series.str.split,Series,str.split,String handling,phase 2,Series.str.split,
Series.str.rsplit,Series,str.rsplit,String handling,,Series.str.rsplit,
Series.str.startswith,Series,str.startswith,String handling,phase 2,Series.str.startswith,
Series.str.strip,Series,str.strip,String handling,phase 2,Series.str.strip,
Series.str.swapcase,Series,str.swapcase,String handling,,Series.str.swapcase,
Series.str.title,Series,str.title,String handling,,Series.str.title,
Series.str.translate,Series,str.translate,String handling,,Series.str.translate,
Series.str.upper,Series,str.upper,String handling,phase 2,Series.str.upper,
Series.str.wrap,Series,str.wrap,String handling,,Series.str.wrap,
Series.str.zfill,Series,str.zfill,String handling,,Series.str.zfill,
Series.str.isalnum,Series,str.isalnum,String handling,,Series.str.isalnum,
Series.str.isalpha,Series,str.isalpha,String handling,,Series.str.isalpha,
Series.str.isdigit,Series,str.isdigit,String handling,phase 2,Series.str.isdigit,
Series.str.isspace,Series,str.isspace,String handling,,Series.str.isspace,
Series.str.islower,Series,str.islower,String handling,phase 2,Series.str.islower,
Series.str.isupper,Series,str.isupper,String handling,phase 2,Series.str.isupper,
Series.str.istitle,Series,str.istitle,String handling,,Series.str.istitle,
Series.str.isnumeric,Series,str.isnumeric,String handling,,Series.str.isnumeric,
Series.str.isdecimal,Series,str.isdecimal,String handling,,Series.str.isdecimal,
Series.str.get_dummies,Series,str.get_dummies,String handling,,Series.str.get_dummies,
Series.cat.categories,Series,cat.categories,Categorical accessor,,Series.cat.categories,
Series.cat.ordered,Series,cat.ordered,Categorical accessor,,Series.cat.ordered,
Series.cat.codes,Series,cat.codes,Categorical accessor,,Series.cat.codes,
Series.cat.rename_categories,Series,cat.rename_categories,Categorical accessor,,Series.cat.rename_categories,
Series.cat.reorder_categories,Series,cat.reorder_categories,Categorical accessor,,Series.cat.reorder_categories,
Series.cat.add_categories,Series,cat.add_categories,Categorical accessor,,Series.cat.add_categories,
Series.cat.remove_categories,Series,cat.remove_categories,Categorical accessor,,Series.cat.remove_categories,
Series.cat.remove_unused_categories,Series,cat.remove_unused_categories,Categorical accessor,,Series.cat.remove_unused_categories,
Series.cat.set_categories,Series,cat.set_categories,Categorical accessor,,Series.cat.set_categories,
Series.cat.as_ordered,Series,cat.as_ordered,Categorical accessor,,Series.cat.as_ordered,
Series.cat.as_unordered,Series,cat.as_unordered,Categorical accessor,,Series.cat.as_unordered,
Series.sparse.npoints,Series,sparse.npoints,Sparse accessor,,Series.sparse.npoints,
Series.sparse.density,Series,sparse.density,Sparse accessor,,Series.sparse.density,
Series.sparse.fill_value,Series,sparse.fill_value,Sparse accessor,,Series.sparse.fill_value,
Series.sparse.sp_values,Series,sparse.sp_values,Sparse accessor,,Series.sparse.sp_values,
Series.sparse.from_coo,Series,sparse.from_coo,Sparse accessor,,Series.sparse.from_coo,
Series.sparse.to_coo,Series,sparse.to_coo,Sparse accessor,,Series.sparse.to_coo,
Series.attrs,Series,attrs,Metadata,,Series.attrs,
Series.plot,Series,plot,Plotting,,Series.plot,
Series.plot.area,Series,plot.area,Plotting,,Series.plot.area,
Series.plot.bar,Series,plot.bar,Plotting,,Series.plot.bar,
Series.plot.barh,Series,plot.barh,Plotting,,Series.plot.barh,
Series.plot.box,Series,plot.box,Plotting,,Series.plot.box,
Series.plot.density,Series,plot.density,Plotting,,Series.plot.density,
Series.plot.hist,Series,plot.hist,Plotting,,Series.plot.hist,
Series.plot.kde,Series,plot.kde,Plotting,,Series.plot.kde,
Series.plot.line,Series,plot.line,Plotting,,Series.plot.line,
Series.plot.pie,Series,plot.pie,Plotting,,Series.plot.pie,
Series.hist,Series,hist,Plotting,,Series.hist,
Series.to_pickle,Series,to_pickle,Serialization / IO / conversion,,Series.to_pickle,
Series.to_csv,Series,to_csv,Serialization / IO / conversion,,Series.to_csv,
Series.to_dict,Series,to_dict,Serialization / IO / conversion,phase 2,Series.to_dict,
Series.to_excel,Series,to_excel,Serialization / IO / conversion,,Series.to_excel,
Series.to_frame,Series,to_frame,Serialization / IO / conversion,,Series.to_frame,
Series.to_xarray,Series,to_xarray,Serialization / IO / conversion,,Series.to_xarray,
Series.to_hdf,Series,to_hdf,Serialization / IO / conversion,,Series.to_hdf,
Series.to_sql,Series,to_sql,Serialization / IO / conversion,,Series.to_sql,
Series.to_json,Series,to_json,Serialization / IO / conversion,,Series.to_json,
Series.to_string,Series,to_string,Serialization / IO / conversion,,Series.to_string,
Series.to_clipboard,Series,to_clipboard,Serialization / IO / conversion,,Series.to_clipboard,
Series.to_latex,Series,to_latex,Serialization / IO / conversion,,Series.to_latex,
Series.to_markdown,Series,to_markdown,Serialization / IO / conversion,,Series.to_markdown,
Index.values,Index,values,Properties,,Index.values,
Index.is_monotonic_increasing,Index,is_monotonic_increasing,Properties,,Index.is_monotonic_increasing,
Index.is_monotonic_decreasing,Index,is_monotonic_decreasing,Properties,,Index.is_monotonic_decreasing,
Index.is_unique,Index,is_unique,Properties,,Index.is_unique,
Index.has_duplicates,Index,has_duplicates,Properties,,Index.has_duplicates,
Index.hasnans,Index,hasnans,Properties,,Index.hasnans,
Index.dtype,Index,dtype,Properties,,Index.dtype,
Index.inferred_type,Index,inferred_type,Properties,,Index.inferred_type,
Index.shape,Index,shape,Properties,,Index.shape,
Index.name,Index,name,Properties,,Index.name,
Index.names,Index,names,Properties,,Index.names,
Index.nbytes,Index,nbytes,Properties,,Index.nbytes,
Index.ndim,Index,ndim,Properties,,Index.ndim,
Index.size,Index,size,Properties,,Index.size,
Index.empty,Index,empty,Properties,,Index.empty,
Index.T,Index,T,Properties,,Index.T,
Index.memory_usage,Index,memory_usage,Properties,,Index.memory_usage,
Index.all,Index,all,Modifying and computations,,Index.all,
Index.any,Index,any,Modifying and computations,,Index.any,
Index.argmin,Index,argmin,Modifying and computations,,Index.argmin,
Index.argmax,Index,argmax,Modifying and computations,,Index.argmax,
Index.copy,Index,copy,Modifying and computations,,Index.copy,
Index.delete,Index,delete,Modifying and computations,,Index.delete,
Index.drop,Index,drop,Modifying and computations,,Index.drop,
Index.drop_duplicates,Index,drop_duplicates,Modifying and computations,,Index.drop_duplicates,
Index.duplicated,Index,duplicated,Modifying and computations,,Index.duplicated,
Index.equals,Index,equals,Modifying and computations,,Index.equals,
Index.factorize,Index,factorize,Modifying and computations,,Index.factorize,
Index.identical,Index,identical,Modifying and computations,,Index.identical,
Index.insert,Index,insert,Modifying and computations,,Index.insert,
Index.is_,Index,is_,Modifying and computations,,Index.is_,
Index.is_boolean,Index,is_boolean,Modifying and computations,,Index.is_boolean,
Index.is_categorical,Index,is_categorical,Modifying and computations,,Index.is_categorical,
Index.is_floating,Index,is_floating,Modifying and computations,,Index.is_floating,
Index.is_integer,Index,is_integer,Modifying and computations,,Index.is_integer,
Index.is_interval,Index,is_interval,Modifying and computations,,Index.is_interval,
Index.is_numeric,Index,is_numeric,Modifying and computations,,Index.is_numeric,
Index.is_object,Index,is_object,Modifying and computations,,Index.is_object,
Index.min,Index,min,Modifying and computations,,Index.min,
Index.max,Index,max,Modifying and computations,,Index.max,
Index.reindex,Index,reindex,Modifying and computations,,Index.reindex,
Index.rename,Index,rename,Modifying and computations,,Index.rename,
Index.repeat,Index,repeat,Modifying and computations,,Index.repeat,
Index.where,Index,where,Modifying and computations,,Index.where,
Index.take,Index,take,Modifying and computations,,Index.take,
Index.putmask,Index,putmask,Modifying and computations,,Index.putmask,
Index.unique,Index,unique,Modifying and computations,,Index.unique,
Index.nunique,Index,nunique,Modifying and computations,,Index.nunique,
Index.value_counts,Index,value_counts,Modifying and computations,,Index.value_counts,
Index.set_names,Index,set_names,Compatibility with MultiIndex,,Index.set_names,
Index.droplevel,Index,droplevel,Compatibility with MultiIndex,,Index.droplevel,
Index.fillna,Index,fillna,Missing values,,Index.fillna,
Index.dropna,Index,dropna,Missing values,,Index.dropna,
Index.isna,Index,isna,Missing values,,Index.isna,
Index.notna,Index,notna,Missing values,,Index.notna,
Index.astype,Index,astype,Conversion,,Index.astype,
Index.item,Index,item,Conversion,,Index.item,
Index.map,Index,map,Conversion,,Index.map,
Index.ravel,Index,ravel,Conversion,,Index.ravel,
Index.to_list,Index,to_list,Conversion,,Index.to_list,
Index.to_series,Index,to_series,Conversion,,Index.to_series,
Index.to_frame,Index,to_frame,Conversion,,Index.to_frame,
Index.view,Index,view,Conversion,,Index.view,
Index.argsort,Index,argsort,Sorting,,Index.argsort,
Index.searchsorted,Index,searchsorted,Sorting,,Index.searchsorted,
Index.sort_values,Index,sort_values,Sorting,,Index.sort_values,
Index.shift,Index,shift,Time-specific operations,,Index.shift,
Index.append,Index,append,Combining / joining / set operations,,Index.append,
Index.join,Index,join,Combining / joining / set operations,,Index.join,
Index.intersection,Index,intersection,Combining / joining / set operations,,Index.intersection,
Index.union,Index,union,Combining / joining / set operations,,Index.union,
Index.difference,Index,difference,Combining / joining / set operations,,Index.difference,
Index.symmetric_difference,Index,symmetric_difference,Combining / joining / set operations,,Index.symmetric_difference,
Index.asof,Index,asof,Selecting,,Index.asof,
Index.asof_locs,Index,asof_locs,Selecting,,Index.asof_locs,
Index.get_indexer,Index,get_indexer,Selecting,,Index.get_indexer,
Index.get_indexer_for,Index,get_indexer_for,Selecting,,Index.get_indexer_for,
Index.get_indexer_non_unique,Index,get_indexer_non_unique,Selecting,,Index.get_indexer_non_unique,
Index.get_level_values,Index,get_level_values,Selecting,,Index.get_level_values,
Index.get_loc,Index,get_loc,Selecting,,Index.get_loc,
Index.get_slice_bound,Index,get_slice_bound,Selecting,,Index.get_slice_bound,
Index.isin,Index,isin,Selecting,,Index.isin,
Index.slice_indexer,Index,slice_indexer,Selecting,,Index.slice_indexer,
Index.slice_locs,Index,slice_locs,Selecting,,Index.slice_locs,
RangeIndex.start,RangeIndex,start,Numeric Index,,RangeIndex.start,
RangeIndex.stop,RangeIndex,stop,Numeric Index,,RangeIndex.stop,
RangeIndex.step,RangeIndex,step,Numeric Index,,RangeIndex.step,
RangeIndex.from_range,RangeIndex,from_range,Numeric Index,,RangeIndex.from_range,
CategoricalIndex.codes,CategoricalIndex,codes,Categorical components,,CategoricalIndex.codes,
CategoricalIndex.categories,CategoricalIndex,categories,Categorical components,,CategoricalIndex.categories,
CategoricalIndex.ordered,CategoricalIndex,ordered,Categorical components,,CategoricalIndex.ordered,
CategoricalIndex.rename_categories,CategoricalIndex,rename_categories,Categorical components,,CategoricalIndex.rename_categories,
CategoricalIndex.reorder_categories,CategoricalIndex,reorder_categories,Categorical components,,CategoricalIndex.reorder_categories,
CategoricalIndex.add_categories,CategoricalIndex,add_categories,Categorical components,,CategoricalIndex.add_categories,
CategoricalIndex.remove_categories,CategoricalIndex,remove_categories,Categorical components,,CategoricalIndex.remove_categories,
CategoricalIndex.remove_unused_categories,CategoricalIndex,remove_unused_categories,Categorical components,,CategoricalIndex.remove_unused_categories,
CategoricalIndex.set_categories,CategoricalIndex,set_categories,Categorical components,,CategoricalIndex.set_categories,
CategoricalIndex.as_ordered,CategoricalIndex,as_ordered,Categorical components,,CategoricalIndex.as_ordered,
CategoricalIndex.as_unordered,CategoricalIndex,as_unordered,Categorical components,,CategoricalIndex.as_unordered,
CategoricalIndex.map,CategoricalIndex,map,Modifying and computations,,CategoricalIndex.map,
CategoricalIndex.equals,CategoricalIndex,equals,Modifying and computations,,CategoricalIndex.equals,
IntervalIndex.from_arrays,IntervalIndex,from_arrays,IntervalIndex components,,IntervalIndex.from_arrays,
IntervalIndex.from_tuples,IntervalIndex,from_tuples,IntervalIndex components,,IntervalIndex.from_tuples,
IntervalIndex.from_breaks,IntervalIndex,from_breaks,IntervalIndex components,,IntervalIndex.from_breaks,
IntervalIndex.left,IntervalIndex,left,IntervalIndex components,,IntervalIndex.left,
IntervalIndex.right,IntervalIndex,right,IntervalIndex components,,IntervalIndex.right,
IntervalIndex.mid,IntervalIndex,mid,IntervalIndex components,,IntervalIndex.mid,
IntervalIndex.closed,IntervalIndex,closed,IntervalIndex components,,IntervalIndex.closed,
IntervalIndex.length,IntervalIndex,length,IntervalIndex components,,IntervalIndex.length,
IntervalIndex.values,IntervalIndex,values,IntervalIndex components,,IntervalIndex.values,
IntervalIndex.is_empty,IntervalIndex,is_empty,IntervalIndex components,,IntervalIndex.is_empty,
IntervalIndex.is_non_overlapping_monotonic,IntervalIndex,is_non_overlapping_monotonic,IntervalIndex components,,IntervalIndex.is_non_overlapping_monotonic,
IntervalIndex.is_overlapping,IntervalIndex,is_overlapping,IntervalIndex components,,IntervalIndex.is_overlapping,
IntervalIndex.get_loc,IntervalIndex,get_loc,IntervalIndex components,,IntervalIndex.get_loc,
IntervalIndex.get_indexer,IntervalIndex,get_indexer,IntervalIndex components,,IntervalIndex.get_indexer,
IntervalIndex.set_closed,IntervalIndex,set_closed,IntervalIndex components,,IntervalIndex.set_closed,
IntervalIndex.contains,IntervalIndex,contains,IntervalIndex components,,IntervalIndex.contains,
IntervalIndex.overlaps,IntervalIndex,overlaps,IntervalIndex components,,IntervalIndex.overlaps,
IntervalIndex.to_tuples,IntervalIndex,to_tuples,IntervalIndex components,,IntervalIndex.to_tuples,
MultiIndex.from_arrays,MultiIndex,from_arrays,MultiIndex constructors,,MultiIndex.from_arrays,
MultiIndex.from_tuples,MultiIndex,from_tuples,MultiIndex constructors,,MultiIndex.from_tuples,
MultiIndex.from_product,MultiIndex,from_product,MultiIndex constructors,,MultiIndex.from_product,
MultiIndex.from_frame,MultiIndex,from_frame,MultiIndex constructors,,MultiIndex.from_frame,
MultiIndex.names,MultiIndex,names,MultiIndex properties,,MultiIndex.names,
MultiIndex.levels,MultiIndex,levels,MultiIndex properties,,MultiIndex.levels,
MultiIndex.codes,MultiIndex,codes,MultiIndex properties,,MultiIndex.codes,
MultiIndex.nlevels,MultiIndex,nlevels,MultiIndex properties,,MultiIndex.nlevels,
MultiIndex.levshape,MultiIndex,levshape,MultiIndex properties,,MultiIndex.levshape,
MultiIndex.dtypes,MultiIndex,dtypes,MultiIndex properties,,MultiIndex.dtypes,
MultiIndex.set_levels,MultiIndex,set_levels,MultiIndex components,,MultiIndex.set_levels,
MultiIndex.set_codes,MultiIndex,set_codes,MultiIndex components,,MultiIndex.set_codes,
MultiIndex.to_flat_index,MultiIndex,to_flat_index,MultiIndex components,,MultiIndex.to_flat_index,
MultiIndex.to_frame,MultiIndex,to_frame,MultiIndex components,,MultiIndex.to_frame,
MultiIndex.sortlevel,MultiIndex,sortlevel,MultiIndex components,,MultiIndex.sortlevel,
MultiIndex.droplevel,MultiIndex,droplevel,MultiIndex components,,MultiIndex.droplevel,
MultiIndex.swaplevel,MultiIndex,swaplevel,MultiIndex components,,MultiIndex.swaplevel,
MultiIndex.reorder_levels,MultiIndex,reorder_levels,MultiIndex components,,MultiIndex.reorder_levels,
MultiIndex.remove_unused_levels,MultiIndex,remove_unused_levels,MultiIndex components,,MultiIndex.remove_unused_levels,
MultiIndex.drop,MultiIndex,drop,MultiIndex components,,MultiIndex.drop,
MultiIndex.copy,MultiIndex,copy,MultiIndex components,,MultiIndex.copy,
MultiIndex.append,MultiIndex,append,MultiIndex components,,MultiIndex.append,
MultiIndex.truncate,MultiIndex,truncate,MultiIndex components,,MultiIndex.truncate,
MultiIndex.get_loc,MultiIndex,get_loc,MultiIndex selecting,,MultiIndex.get_loc,
MultiIndex.get_locs,MultiIndex,get_locs,MultiIndex selecting,,MultiIndex.get_locs,
MultiIndex.get_loc_level,MultiIndex,get_loc_level,MultiIndex selecting,,MultiIndex.get_loc_level,
MultiIndex.get_indexer,MultiIndex,get_indexer,MultiIndex selecting,,MultiIndex.get_indexer,
MultiIndex.get_level_values,MultiIndex,get_level_values,MultiIndex selecting,,MultiIndex.get_level_values,
DatetimeIndex.year,DatetimeIndex,year,Time/date components,,DatetimeIndex.year,
DatetimeIndex.month,DatetimeIndex,month,Time/date components,,DatetimeIndex.month,
DatetimeIndex.day,DatetimeIndex,day,Time/date components,,DatetimeIndex.day,
DatetimeIndex.hour,DatetimeIndex,hour,Time/date components,,DatetimeIndex.hour,
DatetimeIndex.minute,DatetimeIndex,minute,Time/date components,,DatetimeIndex.minute,
DatetimeIndex.second,DatetimeIndex,second,Time/date components,,DatetimeIndex.second,
DatetimeIndex.microsecond,DatetimeIndex,microsecond,Time/date components,,DatetimeIndex.microsecond,
DatetimeIndex.nanosecond,DatetimeIndex,nanosecond,Time/date components,,DatetimeIndex.nanosecond,
DatetimeIndex.date,DatetimeIndex,date,Time/date components,,DatetimeIndex.date,
DatetimeIndex.time,DatetimeIndex,time,Time/date components,,DatetimeIndex.time,
DatetimeIndex.timetz,DatetimeIndex,timetz,Time/date components,,DatetimeIndex.timetz,
DatetimeIndex.dayofyear,DatetimeIndex,dayofyear,Time/date components,,DatetimeIndex.dayofyear,
DatetimeIndex.day_of_year,DatetimeIndex,day_of_year,Time/date components,,DatetimeIndex.day_of_year,
DatetimeIndex.dayofweek,DatetimeIndex,dayofweek,Time/date components,,DatetimeIndex.dayofweek,
